,S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S3_1,S3_2,S3_3,S3_4,S3_5,S3_6,S4_1,S4_2,S4_3,S4_4,S4_5,S4_6,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV750,0,13,0,16,18,0,0,0,0,19,0,0,0,0,10,13,19,0,0,0,0,6,17,11,0,0,0,0,0,0,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__Thermomicrobiales,Unassigned,Unassigned,Unassigned
ASV751,0,0,15,7,15,18,0,0,10,0,0,8,3,1,4,5,6,7,4,0,5,5,8,0,0,0,0,0,0,5,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Rudaea,Unassigned
ASV752,20,8,10,0,17,24,0,0,0,9,0,3,10,0,0,0,7,7,0,18,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__AG11,Unassigned
ASV753,9,12,1,6,7,4,3,0,3,6,2,6,0,3,0,5,7,3,10,0,1,2,2,6,7,1,6,0,15,15,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__UBA2999,g__Gp6-AA45,Unassigned
ASV754,11,9,10,0,0,4,0,8,8,0,16,0,4,9,13,0,0,7,0,0,0,0,0,0,19,0,0,6,7,12,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV755,0,0,0,7,9,10,0,0,13,7,1,9,6,0,4,7,0,10,0,0,0,3,0,0,0,0,19,0,13,0,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__DSTF01,f__WHTK01,g__WHTK01,s__WHTK01 sp009377745
ASV756,0,0,0,0,0,0,0,0,16,13,0,0,14,0,8,0,11,9,0,0,6,20,11,9,0,7,0,10,12,0,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__AC-16,s__AC-16 sp005884575
ASV757,15,0,11,0,19,6,0,0,15,0,6,3,9,12,12,9,1,0,8,0,0,1,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV758,4,12,4,7,0,0,0,0,0,5,4,9,6,0,0,6,7,3,0,6,0,4,0,0,3,11,9,7,11,10,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,Unassigned,Unassigned
ASV759,0,0,0,0,13,0,0,0,3,11,8,6,9,0,0,15,0,7,0,0,0,2,0,0,10,10,11,5,11,10,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae_390796,Unassigned,Unassigned
ASV760,13,0,9,10,0,16,0,0,0,6,0,0,10,11,0,0,0,0,7,0,0,0,0,0,0,3,7,18,11,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV761,6,3,6,2,12,9,0,10,8,5,3,10,6,11,14,0,4,8,0,5,0,0,0,0,0,3,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV762,0,0,26,0,38,0,0,0,0,0,25,0,0,0,7,0,0,0,0,0,0,0,24,21,0,0,0,0,0,0,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__AG11,s__AG11 sp003223455
ASV763,0,0,0,0,0,0,0,0,0,4,0,8,5,7,0,0,4,6,10,10,16,18,5,15,0,6,0,3,8,5,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Edaphobacter_415872,s__Edaphobacter dinghuensis
ASV764,0,1,9,6,2,0,7,15,1,0,1,3,1,3,11,4,8,8,3,17,14,1,2,15,1,0,3,0,9,1,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__AC-16,s__AC-16 sp005884575
ASV765,0,0,0,0,2,6,9,0,0,10,0,5,10,5,2,0,7,9,6,0,0,5,9,0,16,0,0,11,14,9,d__Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV766,23,0,14,23,0,6,0,0,0,0,0,0,7,10,0,0,0,0,20,0,0,0,0,0,0,4,11,0,9,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV767,8,13,0,0,0,0,11,0,0,8,19,7,11,12,20,0,0,17,0,0,0,0,0,0,0,10,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,Unassigned,Unassigned,Unassigned
ASV768,0,0,0,33,0,0,17,16,21,10,0,0,0,0,0,27,0,15,0,0,0,6,9,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597441,f__SG8-41,g__UBA5216,s__UBA5216 sp902825845
ASV769,0,11,1,7,0,4,0,0,4,0,2,8,8,1,0,0,3,6,6,0,0,7,0,0,7,9,11,0,0,12,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__AC-16,s__AC-16 sp005884575
ASV770,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,5,0,6,0,10,19,16,0,0,16,0,0,25,15,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597439,f__Usitatibacteraceae,g__Usitatibacter,Unassigned
ASV771,17,8,0,10,10,0,0,0,0,8,6,8,0,7,12,0,13,0,0,0,0,9,16,0,0,0,0,0,0,0,d__Bacteria,p__Myxococcota_A_473307,c__Polyangia_463783,Unassigned,Unassigned,Unassigned,Unassigned
ASV772,0,0,11,2,0,0,13,8,1,7,5,2,0,0,1,7,0,4,8,15,13,7,10,0,8,0,0,14,0,5,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Rudaea,Unassigned
ASV773,0,0,0,0,13,6,0,0,18,0,8,0,13,0,0,0,0,0,0,0,9,0,0,0,17,0,12,11,20,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae,Unassigned,Unassigned
ASV774,21,18,8,0,20,9,0,0,0,0,0,0,0,0,10,0,0,17,0,0,0,0,11,0,0,7,0,0,0,0,d__Bacteria,p__Chloroflexota,c__Limnocylindria,Unassigned,Unassigned,Unassigned,Unassigned
ASV775,10,0,0,0,14,12,14,14,0,17,0,0,0,11,14,0,0,12,0,0,0,0,0,0,0,0,0,19,0,0,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__Gp7-AA6,g__Gp7-AA6,s__Gp7-AA6 sp003222385
ASV776,6,0,5,6,8,10,0,9,17,0,8,0,0,0,6,7,0,0,6,0,0,0,2,0,7,6,7,5,10,6,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__HRBIN30,f__HRBIN30,g__HRBIN30,s__HRBIN30 sp002898795
ASV777,4,0,4,8,7,11,0,4,21,11,3,4,7,0,3,0,0,4,6,0,0,1,0,0,3,1,8,10,3,7,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504723,f__Im1,g__Rhodoligotrophos,Unassigned
ASV778,0,0,4,0,0,0,0,0,0,5,0,0,2,2,5,4,0,0,9,0,0,8,0,0,30,0,0,40,0,11,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__DSM-16500,f__DSM-16500,g__Aquicella_A,Unassigned
ASV779,10,2,9,3,7,0,10,6,8,6,5,6,2,6,6,9,4,3,4,0,0,2,7,9,0,0,8,0,4,9,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__AC-16,s__AC-16 sp005884575
ASV780,0,6,2,0,0,6,7,0,0,0,5,0,10,0,4,0,7,6,4,0,0,3,0,5,12,5,0,11,7,11,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__UBA8438,g__UBA8438,Unassigned
ASV781,0,0,5,0,17,0,5,9,0,0,0,0,43,14,0,10,4,0,0,0,0,0,0,0,7,0,6,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,Unassigned,Unassigned
ASV782,0,0,0,0,0,0,0,0,0,23,15,0,22,27,7,0,0,11,0,0,0,0,29,0,0,0,0,0,0,0,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__GWC2-73-18,Unassigned
ASV783,49,0,0,7,21,13,0,0,0,6,17,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,4,0,0,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__SCN-69-37,g__SCN-69-37,Unassigned
ASV784,18,5,7,0,6,0,0,0,24,0,0,12,15,0,3,0,10,9,0,0,6,1,0,0,0,0,7,10,0,16,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Pseudonocardia,Unassigned
ASV785,8,0,7,0,22,5,0,7,13,5,12,7,10,0,0,8,12,0,8,0,11,0,0,0,0,0,12,0,0,4,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia_401430,o__IMCC26256,f__PALSA-555,g__SHUY01,Unassigned
ASV786,2,9,2,6,6,3,0,0,9,7,5,6,6,8,0,5,3,5,4,0,0,2,0,0,14,8,6,3,0,10,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__AC-16,s__AC-16 sp005884575
ASV787,0,14,6,17,13,4,0,0,0,0,8,0,0,8,3,0,0,0,14,0,13,5,0,0,0,10,0,0,0,0,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,Unassigned,Unassigned,Unassigned
ASV788,0,0,4,0,0,0,0,10,0,0,7,4,0,9,0,4,5,4,0,0,0,0,0,0,20,10,14,7,10,14,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA10212,Unassigned,Unassigned
ASV789,0,0,0,0,18,0,0,16,0,27,10,0,9,8,0,0,8,0,0,0,0,0,0,0,17,0,15,0,9,0,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Blastocatellaceae_427736,g__Stenotrophobacter_427736,s__Stenotrophobacter terrae
ASV790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,42,28,35,19,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__70-9,g__VAYN01,s__VAYN01 sp005885405
ASV791,0,0,0,0,10,0,10,16,18,0,6,0,8,0,0,0,10,7,0,0,0,0,0,8,0,0,12,18,5,8,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__AG11,s__AG11 sp003223455
ASV792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,39,24,14,37,0,0,0,0,0,0,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA10212,g__UBA10212,s__UBA10212 sp001790525
ASV793,0,8,0,0,0,5,0,11,0,8,7,6,9,12,0,0,0,12,0,0,0,0,0,0,9,10,0,0,10,9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597439,f__Usitatibacteraceae,g__Usitatibacter,Unassigned
ASV794,0,0,4,0,0,6,8,13,0,10,0,6,6,7,9,0,3,0,4,0,0,0,8,0,8,8,7,8,0,14,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597441,f__SHXO01,g__SHXO01,Unassigned
ASV795,0,0,0,0,24,0,26,0,22,0,0,0,1,5,11,0,0,9,0,0,0,0,0,0,7,10,0,0,6,20,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__CSP1-6,g__GWA2-73-35,s__GWA2-73-35 sp001788495
ASV796,0,0,0,0,0,0,11,19,0,12,8,10,11,9,0,0,9,6,11,0,11,0,0,0,8,0,0,0,8,0,d__Bacteria,p__Nitrospirota_A_437815,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira_A,s__Nitrospira_A defluvii_A
ASV797,14,18,0,0,0,0,0,0,35,15,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia_401430,o__Acidimicrobiales,f__Ilumatobacteraceae,Unassigned,Unassigned
ASV798,0,4,0,0,0,2,0,0,8,1,0,0,13,2,3,4,4,2,5,9,3,9,7,6,6,7,6,9,11,6,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__UBA2999,g__Gp6-AA45,Unassigned
ASV799,0,0,7,13,0,21,0,0,0,0,0,0,6,0,20,15,9,0,7,13,0,6,16,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,Unassigned,Unassigned
ASV800,14,0,0,4,0,6,16,12,9,7,2,0,0,1,4,0,0,6,3,0,0,0,2,0,3,6,5,0,10,13,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV801,2,0,7,3,7,8,6,2,14,4,11,10,0,0,1,0,0,2,6,8,0,5,10,5,1,10,5,0,4,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_616009,f__Xanthomonadaceae_616009,g__Arenimonas_613591,s__Arenimonas oryziterrae
ASV802,6,3,13,15,3,3,3,0,6,0,9,7,8,0,6,0,2,4,0,0,7,0,0,4,0,8,7,0,0,0,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__Pedosphaera,s__Pedosphaera parvula
ASV803,3,5,10,0,6,0,0,6,18,1,7,4,12,0,2,0,7,0,0,0,0,3,0,0,6,4,0,15,0,10,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Microlunatus_A_391020,Unassigned
ASV804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,33,22,32,35,0,0,0,0,0,0,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA4665,Unassigned,Unassigned
ASV805,0,12,6,0,0,7,0,9,4,1,6,6,0,0,0,0,0,8,4,14,4,8,8,8,5,1,7,0,11,0,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2979,f__UBA2979,g__SURF-43,s__SURF-43 sp004297315
ASV806,0,0,0,0,0,0,35,10,0,49,3,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA5946,Unassigned,Unassigned
ASV807,0,5,13,2,14,0,0,0,0,0,8,9,1,5,6,0,9,6,5,0,0,6,9,0,0,2,5,0,0,15,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,Unassigned,Unassigned
ASV808,8,0,1,4,5,7,6,7,0,0,0,0,3,8,3,3,3,6,4,4,0,2,3,7,4,6,0,8,10,0,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2979,f__UBA2979,g__VXMT01,Unassigned
ASV809,9,5,7,6,0,1,0,11,8,3,12,8,5,12,4,9,3,8,6,3,3,0,6,0,0,0,0,2,0,0,d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales_778124,f__Rhabdochlamydiaceae,Unassigned,Unassigned
ASV810,6,0,7,13,10,0,8,11,0,0,7,6,4,8,4,3,6,5,0,0,1,0,0,0,3,5,7,5,5,7,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__SM1A02,g__CAADGA01,Unassigned
ASV811,25,20,14,0,0,0,0,0,0,24,0,0,0,18,0,0,0,0,7,0,0,15,0,0,0,0,0,0,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__Gp1-AA122,s__Gp1-AA122 sp003225055
ASV812,0,0,6,0,0,0,16,20,0,0,0,0,8,5,9,0,0,0,0,0,0,0,0,0,20,0,17,15,18,0,d__Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV813,0,0,0,8,15,0,0,0,9,9,18,14,9,7,0,0,7,9,0,7,0,0,0,2,0,5,5,0,5,9,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,Unassigned,Unassigned
ASV814,19,2,5,8,23,12,11,0,0,0,0,0,15,6,0,0,9,0,0,2,0,3,4,0,7,0,0,0,0,0,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,Unassigned,Unassigned,Unassigned
ASV815,0,9,4,8,0,9,5,5,0,5,0,0,2,0,2,8,2,1,4,6,0,1,0,0,7,1,10,13,13,3,d__Bacteria,p__Chloroflexota,c__Limnocylindria,Unassigned,Unassigned,Unassigned,Unassigned
ASV816,0,0,5,6,0,12,0,10,0,4,6,8,5,6,0,8,7,5,0,7,0,5,0,6,0,7,5,6,7,0,d__Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV817,10,0,11,0,0,0,0,0,0,4,0,0,5,0,5,0,0,8,0,0,0,0,0,0,6,11,21,11,11,18,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_433871,g__PSRF01,Unassigned
ASV818,0,31,0,0,0,0,0,0,0,0,0,9,0,0,0,15,19,20,0,0,0,13,0,0,0,0,0,0,22,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV819,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,167,0,0,0,0,0,0,d__Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV820,0,6,0,0,0,0,12,0,0,13,16,13,3,18,17,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__UBA2999,Unassigned,Unassigned
ASV821,0,0,0,0,0,5,0,0,18,4,0,8,2,0,5,0,0,5,10,18,0,5,12,4,9,2,0,12,0,0,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__GWC2-73-18,s__GWC2-73-18 sp001794945
ASV822,9,0,5,0,0,6,0,0,11,12,8,5,4,0,10,0,6,0,0,0,0,0,0,6,15,2,0,0,0,10,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__Chloroflexales_407288,f__Roseiflexaceae,g__Kouleothrix,s__Kouleothrix aurantiaca
ASV823,0,2,4,0,4,0,2,0,1,4,0,0,2,6,0,3,1,3,3,10,22,8,13,16,3,4,0,0,8,1,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__Thermomicrobiales,f__Thermomicrobiaceae,g__Nitrolancea,s__Nitrolancea hollandica
ASV824,0,0,0,0,0,0,0,0,0,8,17,0,6,0,23,0,29,0,9,0,0,0,0,0,9,0,0,0,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Palsa-187,s__Palsa-187 sp902826605
ASV825,9,0,8,0,21,0,11,0,0,11,11,0,16,12,0,11,0,0,0,18,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_L_486704,Unassigned
ASV826,9,6,17,13,8,2,0,0,0,10,4,0,0,7,6,0,4,0,0,0,0,0,0,0,3,5,4,13,0,0,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia_401430,o__Acidimicrobiales,Unassigned,Unassigned,Unassigned
ASV827,0,5,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,0,5,5,8,7,0,8,11,9,12,10,8,10,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__Gp7-AA6,g__Gp7-AA6,s__Gp7-AA6 sp003222385
ASV828,0,0,45,45,0,0,0,0,0,0,7,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Comamonas_F_589250,s__Comamonas_F_589250 tsuruhatensis
ASV829,0,0,4,0,12,2,4,0,0,5,5,0,14,9,0,11,0,10,8,0,0,0,0,0,10,0,11,2,3,4,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter_910554,Unassigned
ASV830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,19,16,24,28,0,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__Ginsengibacter,s__Ginsengibacter hankyongi
ASV831,5,5,1,3,4,2,6,7,3,1,2,0,5,3,7,4,6,5,3,0,6,2,3,8,0,5,11,5,4,9,d__Bacteria,p__Nitrospirota_A_437815,c__Nitrospiria,o__Nitrospirales,f__NS-4,g__NS-12,s__NS-12 sp005877855
ASV832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,21,14,25,32,18,0,0,0,0,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Solibacter,s__Solibacter usitatus_A
ASV833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Bacillales_B_306089,f__Bacillaceae_H_294103,g__Bacillus_P_294101,s__Bacillus_P_294101 spizizenii_291092
ASV834,4,2,8,11,5,5,4,4,2,2,9,4,4,9,1,2,7,5,7,0,0,3,7,0,3,7,6,0,0,4,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae_433871,g__PSRF01,s__PSRF01 sp002427845
ASV835,1,4,2,0,2,0,10,0,14,6,3,3,14,8,0,0,4,0,7,0,0,0,0,0,14,4,8,5,7,8,d__Bacteria,p__Nitrospirota_A_437815,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__40CM-3-62-11,Unassigned
ASV836,0,17,0,0,27,0,22,4,0,2,1,10,1,15,0,0,2,10,1,0,0,0,0,0,0,9,0,5,2,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas_L_486704,Unassigned
ASV837,0,8,13,0,0,0,0,0,12,14,0,0,0,0,19,11,0,13,10,0,0,0,0,0,12,0,0,0,0,0,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__UBA2999,g__Gp6-AA45,Unassigned
ASV838,0,0,6,0,7,8,43,20,0,16,5,0,0,0,0,0,0,0,0,10,13,0,0,0,6,0,0,8,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,Unassigned
ASV839,0,0,0,8,0,0,0,0,42,14,0,0,12,0,0,0,0,10,0,0,0,9,0,0,0,0,0,0,16,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Bacillales_B_302584,f__DSM-18226_301387,g__Bacillus_BD,Unassigned
ASV840,11,0,4,0,15,9,15,11,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,9,10,6,3,10,10,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__Ferruginibacter,Unassigned
ASV841,0,9,0,0,8,8,0,0,0,0,2,4,0,0,4,0,12,5,0,0,0,0,0,0,14,5,8,7,13,22,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae,Unassigned,Unassigned
ASV842,0,0,4,0,0,9,0,6,0,4,5,0,0,0,6,0,8,0,12,4,0,1,0,0,6,12,11,8,9,11,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__Gp7-AA6,g__Gp7-AA6,s__Gp7-AA6 sp003222385
ASV843,19,0,0,0,7,0,0,0,0,0,19,0,10,0,18,11,0,0,0,0,0,0,0,0,10,15,0,0,6,0,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__UBA7656,f__UBA7656,g__QHVH01,s__QHVH01 sp003222245
ASV844,8,0,3,6,9,4,6,15,4,3,3,6,2,0,0,0,9,4,0,0,0,0,0,0,6,0,0,4,4,9,d__Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV845,0,10,0,0,3,6,0,8,5,4,4,0,2,4,6,9,3,7,8,0,0,0,0,0,5,7,5,3,9,6,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,Unassigned,Unassigned
ASV846,0,11,4,13,0,7,0,0,0,3,0,0,4,0,5,0,0,0,11,18,0,9,7,0,0,7,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Sporichthyales,f__Sporichthyaceae,g__Sporichthya,s__Sporichthya polymorpha
ASV847,0,7,8,0,0,2,0,0,0,0,13,0,10,0,5,0,3,0,6,3,10,5,0,4,2,8,9,1,6,7,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__Gp7-AA6,g__Gp7-AA6,s__Gp7-AA6 sp003222385
ASV848,16,0,0,12,23,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,11,12,0,10,0,0,12,0,8,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__AC-16,s__AC-16 sp005884575
ASV849,4,6,6,0,7,11,0,5,0,0,0,6,0,7,19,6,9,4,0,0,0,0,0,0,2,7,0,5,7,11,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5704,f__UBA5704,Unassigned,Unassigned
ASV850,0,9,10,5,8,6,11,3,0,7,9,4,5,13,2,4,0,2,0,0,0,0,0,0,2,3,8,1,13,1,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter_910554,Unassigned
ASV851,0,0,0,0,13,0,0,0,0,0,0,0,9,0,14,16,0,10,0,0,0,0,0,0,9,18,0,0,0,21,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV852,10,7,4,0,12,0,6,0,0,7,12,0,3,4,4,10,11,6,0,3,0,0,6,0,0,0,0,5,10,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597441,f__SG8-41,g__UBA5216,s__UBA5216 sp902825845
