,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R5_1,R5_2,R5_3,R5_4,R5_5,R5_6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Hypocreales_gen_Incertae_sedis,s__Hypocreales_sp;sh__SH0178073.09FU
ASV1841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Coniophoraceae,g__Coniophora,s__Coniophora_arida;sh__SH0159430.09FU
ASV1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,k__Fungi,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Dissophora,s__Dissophora_globulifera;sh__SH0118439.09FU
ASV1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Periconiaceae,g__Periconia,s__Periconia_celtidis;sh__SH0034133.09FU
ASV1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Boletales_fam_Incertae_sedis,g__Leucogyrophana,s__Leucogyrophana_olivascens;sh__SH0206068.09FU
ASV1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Podosporaceae,g__Podosporaceae_gen_Incertae_sedis,s__Podosporaceae_sp;sh__SH0044052.09FU
ASV1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_sp;sh__SH0107456.09FU
ASV1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,k__Fungi,p__Zoopagomycota,c__Zoopagomycetes,o__Zoopagales,f__Zoopagales_fam_Incertae_sedis,g__Zoopagales_gen_Incertae_sedis,s__Zoopagales_sp;sh__SH0048943.09FU
ASV1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp;sh__SH0011054.09FU
ASV1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideomycetes_ord_Incertae_sedis,f__Dothideomycetes_fam_Incertae_sedis,g__Dothideomycetes_gen_Incertae_sedis,s__Dothideomycetes_sp;sh__SH0030723.09FU
ASV1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Porodiplodiaceae,g__Porodiplodia,s__Porodiplodia_livistonae;sh__SH0049116.09FU
ASV1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Leucosporidiales,f__Leucosporidiaceae,g__Leucosporidium,s__Leucosporidium_sp;sh__SH0234727.09FU
ASV1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,s__Cladophialophora_sp;sh__SH0225845.09FU
ASV1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,k__Fungi,p__Chytridiomycota,c__Chytridiomycota_cls_Incertae_sedis,o__Chytridiomycota_ord_Incertae_sedis,f__Chytridiomycota_fam_Incertae_sedis,g__Chytridiomycota_gen_Incertae_sedis,s__Chytridiomycota_sp;sh__SH0109139.09FU
ASV1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,s__Acremonium_sp;sh__SH0136655.09FU
ASV1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,f__Coniochaetaceae,g__Coniochaeta,s__Coniochaeta_sp
ASV1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,Unassigned,Unassigned,Unassigned,Unassigned
ASV1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Calycina,Unassigned
