,CMA1,CMA2,CMA3,CMA4,CMA5,CMA6,CK1,CK2,CK3,CK4,CK5,CK6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV2997,0,0,6,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Asticcacaulis,Unassigned
ASV2998,0,0,7,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Dongiales,f__Dongiaceae,g__Dongia_507335,s__Dongia sp000620685
ASV2999,0,0,9,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,Unassigned,Unassigned
ASV3000,0,0,7,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__UBA9339,f__UBA9339,g__UBA9339,s__UBA9339 sp001801345
ASV3001,0,0,6,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae,Unassigned,Unassigned
ASV3002,0,0,9,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__Terrimonas_942083,Unassigned
ASV3003,0,0,4,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,Unassigned,Unassigned
ASV3004,0,0,6,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Bdellovibrionota_E,c__Bdellovibrionia_A_470743,o__UBA1018,f__UBA1018,g__GWA1-52-35,s__GWA1-52-35 sp001769805
ASV3005,0,0,4,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__DSM-16500,f__DSM-16500,g__UBA4722,s__UBA4722 sp002404295
ASV3006,0,0,5,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Bacillales_B_302584,f__DSM-18226_301387,g__Bacillus_BD,Unassigned
ASV3007,0,0,10,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA4665,g__PMNU01,s__PMNU01 sp002952755
ASV3008,0,0,8,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,Unassigned
ASV3009,0,0,5,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__Sulfotelmatobacter,s__Sulfotelmatobacter sp003166855
ASV3010,0,0,9,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,Unassigned,Unassigned
ASV3011,0,0,4,0,0,0,0,4,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,Unassigned,Unassigned,Unassigned
ASV3012,0,0,6,5,0,0,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter_A,Unassigned
ASV3013,0,0,2,0,1,0,0,0,0,0,0,0,d__Bacteria,p__Myxococcota_A_473307,c__Polyangia_463783,o__Polyangiales,f__SG8-38,Unassigned,Unassigned
ASV3014,0,0,7,0,3,0,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,Unassigned,Unassigned
ASV3015,0,0,3,0,0,0,0,6,0,0,0,0,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__UTPRO1,f__UTPRO1,g__UTPRO1,s__UTPRO1 sp002050235
ASV3016,0,0,1,0,0,0,0,0,7,0,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Thermoactinomycetales_367745,f__Thermoactinomycetaceae,g__Thermoactinomyces_A,s__Thermoactinomyces_A vulgaris
ASV3017,0,0,2,7,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__UBA9339,f__UBA9339,g__UBA9339,s__UBA9339 sp001801345
ASV3018,0,0,1,0,0,0,0,0,0,5,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Bacillales_D_310495,f__Amphibacillaceae,g__Oceanobacillus,Unassigned
ASV3019,0,0,0,12,0,0,0,0,0,0,0,0,d__Bacteria,p__Bdellovibrionota_E,c__Bdellovibrionia_A_470743,o__UBA1018,f__UBA1018,g__GWA1-52-35,s__GWA1-52-35 sp001769805
ASV3020,0,0,0,10,0,0,0,0,0,0,0,0,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,Unassigned,Unassigned,Unassigned
ASV3021,0,0,0,12,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV3022,0,0,0,12,0,0,0,0,0,0,0,0,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__Babeliaceae,g__Babela,Unassigned
ASV3023,0,0,0,12,0,0,0,0,0,0,0,0,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__SM1A02,Unassigned,Unassigned
ASV3024,0,0,0,11,0,0,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Microlunatus_A_391020,Unassigned
ASV3025,0,0,0,12,0,0,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__UTBCD1,s__UTBCD1 sp005883765
ASV3026,0,0,0,12,0,0,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Paenibacillales,f__NBRC-103111,g__Paenibacillus_AC,s__Paenibacillus_AC psychroresistens
ASV3027,0,0,0,12,0,0,0,0,0,0,0,0,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__UTPRO1,f__UTPRO1,g__UTPRO1,s__UTPRO1 sp002050235
ASV3028,0,0,0,12,0,0,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,Unassigned,Unassigned,Unassigned
ASV3029,0,0,0,8,0,0,0,4,0,0,0,0,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__Gp7-AA6,g__Gp7-AA6,s__Gp7-AA6 sp003222385
ASV3030,0,0,0,8,0,4,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV3031,0,0,0,7,0,0,0,2,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae_405308,g__Baekduia,Unassigned
ASV3032,0,0,0,0,7,0,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae_367444,g__Paenibacillus_J_366884,Unassigned
ASV3033,0,0,0,0,8,0,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Dyadobacter_906144,Unassigned
ASV3034,0,0,0,0,9,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_616009,f__Xanthomonadaceae_616009,Unassigned,Unassigned
ASV3035,0,0,0,0,7,0,0,0,0,0,0,0,d__Bacteria,p__Myxococcota_A_473307,c__Polyangia_463783,o__Palsa-1104_A,f__Fen-1088,g__Fen-1137,s__Fen-1137 sp003142855
ASV3036,0,0,0,0,7,0,0,0,0,0,0,0,d__Bacteria,p__Myxococcota_A_473307,c__Polyangia_463783,o__Haliangiales_463188,f__Haliangiaceae_463188,g__Haliangium_463188,s__Haliangium ochraceum
ASV3037,0,0,0,0,9,0,0,0,0,0,0,0,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,Unassigned,Unassigned,Unassigned
ASV3038,0,0,0,0,4,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Dongiales,f__Dongiaceae,g__Dongia_507335,s__Dongia sp000620685
ASV3039,0,0,0,0,6,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Berkiellales,f__Berkiellaceae,g__Berkiella_A,s__Berkiella_A aquae
ASV3040,0,0,0,0,8,0,0,0,0,0,0,0,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__CG2-30-64-16,f__CG2-30-64-16,g__MWBF01,s__MWBF01 sp002068935
ASV3041,0,0,0,0,9,0,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptomycetales_400645,f__Streptomycetaceae_400641,Unassigned,Unassigned
ASV3042,0,0,0,0,6,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,Unassigned
ASV3043,0,0,0,0,9,0,0,0,0,0,0,0,d__Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV3044,0,0,0,0,7,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV3045,0,0,0,0,6,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Geminicoccales,f__Geminicoccaceae,g__HRBIN40,s__HRBIN40 sp002898275
ASV3046,0,0,0,0,10,0,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae_405341,g__Solirubrobacter,Unassigned
ASV3047,0,0,0,0,6,0,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,Unassigned
ASV3048,0,0,0,0,9,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_616009,f__Xanthomonadaceae_616009,g__Arenimonas_613591,Unassigned
ASV3049,0,0,0,0,7,0,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,Unassigned
ASV3050,0,0,0,0,8,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__VAZQ01,s__VAZQ01 sp005883115
ASV3051,0,0,0,0,8,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Ramlibacter_588642,Unassigned
ASV3052,0,0,0,0,6,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_501396,f__Rhizobiaceae_A_499470,g__Mesorhizobium_F_498388,s__Mesorhizobium_F_498388 albiziae
ASV3053,0,0,0,0,7,0,0,0,0,0,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,Unassigned,Unassigned
ASV3054,0,0,0,0,8,0,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,Unassigned,Unassigned
ASV3055,0,0,0,0,8,0,0,0,0,0,0,0,d__Bacteria,p__Myxococcota_A_473307,c__Polyangia_463783,o__Palsa-1104_A,f__Fen-1088,g__Fen-1137,s__Fen-1137 sp003142855
ASV3056,0,0,0,0,7,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597441,f__Thiobacillaceae,g__Thiobacillus,s__Thiobacillus thiophilus
ASV3057,0,0,0,0,8,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,Unassigned,Unassigned
ASV3058,0,0,0,0,6,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__VAZQ01,s__VAZQ01 sp005883115
ASV3059,0,0,0,0,6,0,0,0,0,0,0,0,d__Bacteria,p__Myxococcota_A_473307,c__Myxococcia,o__Myxococcales,f__40CM-4-68-19,g__40CM-4-68-19,s__40CM-4-68-19 sp005879535
ASV3060,0,0,0,0,7,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,Unassigned,Unassigned
ASV3061,0,0,0,0,5,0,0,2,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Palsa-739,s__Palsa-739 sp003139545
ASV3062,0,0,0,0,2,0,0,0,0,6,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Micromonosporaceae,g__Actinoplanes,Unassigned
ASV3063,0,0,0,0,0,10,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Hydrogenophaga_590395,s__Hydrogenophaga aromaticivorans
ASV3064,0,0,0,0,0,11,0,0,0,0,0,0,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__Palsa-1233,Unassigned
ASV3065,0,0,0,0,0,10,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Parapedobacter,Unassigned
ASV3066,0,0,0,0,0,12,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597441,f__Nitrosomonadaceae,g__Nitrosospira,Unassigned
ASV3067,0,0,0,0,0,11,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Beijerinckiaceae,g__Alsobacter,Unassigned
ASV3068,0,0,0,0,0,10,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597439,f__Usitatibacteraceae,g__Usitatibacter,Unassigned
ASV3069,0,0,0,0,0,8,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,Unassigned,Unassigned
ASV3070,0,0,0,0,0,10,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Berkiellales,f__Berkiellaceae,g__Berkiella_A,Unassigned
ASV3071,0,0,0,0,0,9,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia_401430,o__Acidimicrobiales,f__Ilumatobacteraceae,g__Ilumatobacter_A,Unassigned
ASV3072,0,0,0,0,0,11,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,Unassigned,Unassigned,Unassigned
ASV3073,0,0,0,0,0,12,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Sporichthyales,f__Sporichthyaceae,g__Longivirga,s__Longivirga aurantiaca
ASV3074,0,0,0,0,0,11,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinilabiliaceae,g__Breznakibacter,s__Breznakibacter xylanolyticus
ASV3075,0,0,0,0,0,8,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV3076,0,0,0,0,0,11,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae_390796,Unassigned,Unassigned
ASV3077,0,0,0,0,0,11,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales_A_737866,f__Aeromonadaceae,g__Pseudaeromonas,s__Pseudaeromonas sharmana
ASV3078,0,0,0,0,0,11,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV3079,0,0,0,0,0,9,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,Unassigned,Unassigned
ASV3080,0,0,0,0,0,10,0,0,0,0,0,0,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__CG2-30-64-16,f__CG2-30-64-16,g__MWBF01,s__MWBF01 sp002068935
ASV3081,0,0,0,0,0,11,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Clostridiales,f__Clostridiaceae_222000,Unassigned,Unassigned
ASV3082,0,0,0,0,0,11,0,0,0,0,0,0,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__Thermomicrobiales,Unassigned,Unassigned,Unassigned
ASV3083,0,0,0,0,0,11,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Microbacteriaceae,g__Agromyces_B_382064,Unassigned
ASV3084,0,0,0,0,0,11,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Beijerinckiaceae,g__Alsobacter,Unassigned
ASV3085,0,0,0,0,0,12,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,g__Niastella,Unassigned
ASV3086,0,0,0,0,0,10,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,Unassigned,Unassigned
ASV3087,0,0,0,0,0,7,4,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV3088,0,0,0,0,0,4,4,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,Unassigned,Unassigned
ASV3089,0,0,0,0,0,0,9,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597437,f__Casimicrobiaceae,g__VBCG01,s__VBCG01 sp005881895
ASV3090,0,0,0,0,0,0,8,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella copri
ASV3091,0,0,0,0,0,0,7,0,0,0,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae_367444,g__Cohnella,Unassigned
ASV3092,0,0,0,0,0,0,7,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Jatrophihabitantaceae,Unassigned,Unassigned
ASV3093,0,0,0,0,0,0,6,0,0,0,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__Sulfotelmatobacter,s__Sulfotelmatobacter sp003166855
ASV3094,0,0,0,0,0,0,8,2,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales_650612,f__Halieaceae,Unassigned,Unassigned
ASV3095,0,0,0,0,0,0,0,5,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cyclobacteriaceae_900466,g__ELB16-189,s__ELB16-189 sp001567185
ASV3096,0,0,0,0,0,0,0,11,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Beijerinckiaceae,g__Methylobacterium,Unassigned
ASV3097,0,0,0,0,0,0,0,10,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Acidovorax_A,Unassigned
ASV3098,0,0,0,0,0,0,0,4,0,3,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,g__Variibacter,Unassigned
ASV3099,0,0,0,0,0,0,0,2,0,0,7,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_597433,f__SG8-39,g__SCGC-AG-212-J23,s__SCGC-AG-212-J23 sp005881595
ASV3100,0,0,0,0,0,0,0,0,12,0,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,Unassigned
ASV3101,0,0,0,0,0,0,0,0,12,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae,Unassigned,Unassigned
ASV3102,0,0,0,0,0,0,0,0,12,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter_887417,s__Pedobacter lotistagni
ASV3103,0,0,0,0,0,0,0,0,12,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae_966727,Unassigned,Unassigned
ASV3104,0,0,0,0,0,0,0,0,12,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV3105,0,0,0,0,0,0,0,0,12,0,0,0,d__Bacteria,p__Bdellovibrionota_E,c__Bacteriovoracia,o__Bacteriovoracales,f__Peredibacteraceae,g__Peredibacter,Unassigned
ASV3106,0,0,0,0,0,0,0,0,12,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV3107,0,0,0,0,0,0,0,0,0,8,0,0,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Longimicrobiales,f__RSA9,g__RSA9,Unassigned
ASV3108,0,0,0,0,0,0,0,0,0,8,0,0,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__70-9,g__VAYN01,s__VAYN01 sp005885405
ASV3109,0,0,0,0,0,0,0,0,0,6,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales_A_737866,f__Enterobacteriaceae_A,Unassigned,Unassigned
ASV3110,0,0,0,0,0,0,0,0,0,7,0,0,d__Bacteria,p__Bdellovibrionota_E,c__Bdellovibrionia_A_473294,o__Bdellovibrionales,f__SG-bin7,g__SG-bin7,s__SG-bin7 sp002083485
ASV3111,0,0,0,0,0,0,0,0,0,6,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter_A,s__Mucilaginibacter_A angelicae
ASV3112,0,0,0,0,0,0,0,0,0,6,0,0,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_C_71358
ASV3113,0,0,0,0,0,0,0,0,0,6,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Bacillales_A,f__Planococcaceae,Unassigned,Unassigned
ASV3114,0,0,0,0,0,0,0,0,0,7,0,0,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia_401430,o__Acidimicrobiales,f__JAAYBP01,g__Aquihabitans,s__Aquihabitans daechungensis
ASV3115,0,0,0,0,0,0,0,0,0,5,0,0,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__COE1,Unassigned
ASV3116,0,0,0,0,0,0,0,0,0,5,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caedimonadales,Unassigned,Unassigned,Unassigned
ASV3117,0,0,0,0,0,0,0,0,0,5,0,0,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae_405341,g__Solirubrobacter,Unassigned
ASV3118,0,0,0,0,0,0,0,0,0,6,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Pseudonocardia,Unassigned
ASV3119,0,0,0,0,0,0,0,0,0,0,11,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592522,f__Burkholderiaceae_A_592522,g__Aquabacterium_B_592457,s__Aquabacterium_B_592457 commune
ASV3120,0,0,0,0,0,0,0,0,0,0,10,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Rhodococcus_C_375578,Unassigned
ASV3121,0,0,0,0,0,0,0,0,0,0,10,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504723,f__Aestuariivirgaceae,g__Aestuariivirga,s__Aestuariivirga litoralis
ASV3122,0,0,0,0,0,0,0,0,0,0,11,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV3123,0,0,0,0,0,0,0,0,0,0,12,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Geodermatophilaceae,g__Blastococcus,Unassigned
ASV3124,0,0,0,0,0,0,0,0,0,0,11,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,Unassigned,Unassigned
ASV3125,0,0,0,0,0,0,0,0,0,0,0,8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,f__Burkholderiaceae_A_580492,g__Paraburkholderia_580243,Unassigned
ASV3126,9,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides_A_392796,Unassigned
ASV3127,4,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV3128,5,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__AC-16,s__AC-16 sp005884575
ASV3129,7,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__AG11,s__AG11 sp003223455
ASV3130,6,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Berkiellales,f__Berkiellaceae,g__Berkiella_A,Unassigned
ASV3131,4,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,Unassigned,Unassigned
ASV3132,6,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__DSM-16016,f__Caldibacillaceae,g__Caldibacillus_295372,Unassigned
ASV3133,5,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Myxococcota_A_473307,c__Polyangia_463783,o__Polyangiales,Unassigned,Unassigned,Unassigned
