,CMA1,CMA2,CMA3,CMA4,CMA5,CMA6,CK1,CK2,CK3,CK4,CK5,CK6,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV9656,1,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales_A_504705,f__Xanthobacteraceae_503485,Unassigned,Unassigned
ASV9657,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__DSM-16500,f__DSM-16500,g__UBA4722,s__UBA4722 sp002404295
ASV9658,1,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter_910554,Unassigned
ASV9659,1,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,g__Mammaliicoccus_319276,s__Mammaliicoccus fleurettii
ASV9660,1,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,Unassigned,Unassigned,Unassigned
ASV9661,1,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,Unassigned,Unassigned
ASV9662,1,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia_401430,o__Acidimicrobiales,f__JAAYBP01,g__Aquihabitans,s__Aquihabitans daechungensis
ASV9663,1,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_592524,Unassigned,Unassigned,Unassigned
ASV9664,1,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,Unassigned,Unassigned,Unassigned,Unassigned
ASV9665,1,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae_367444,g__Paenibacillus_C,Unassigned
ASV9666,1,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned
ASV9667,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Dermatophilaceae_390796,Unassigned,Unassigned
ASV9668,0,1,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales_613067,f__Rhodanobacteraceae_613067,g__Rudaea,Unassigned
ASV9669,0,1,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__SAR86_747617,f__D2472,g__CACNXK01,Unassigned
ASV9670,0,1,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__HRBIN30,f__HRBIN30,g__HRBIN30,Unassigned
ASV9671,0,1,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Bdellovibrionota_E,c__Bdellovibrionia_A_470743,o__UBA1018,f__UBA1018,g__GWA1-52-35,s__GWA1-52-35 sp001769805
ASV9672,0,1,0,0,0,0,0,0,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__DSM-16500,f__DSM-16500,Unassigned,Unassigned
